时间戳[G]	当前价[0]	成交总额[2]	成交总量[1]	原始成交总量[v]	持仓量[3]	昨结算[4]	成交笔数[5]	开盘价[8]	最高价[9]	最低价[a]	今结算[b]	前收盘[c]	证券状态[h]	市盈率2[7]	多档委买价[d]	多档委买量[e]	多档委卖价[f]	多档委卖量[g]
2019-12-2415:00:03	16.40	752350097.20	459128	0	15	0.00	29623	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,16.390000,16.380000,16.370000,16.360000	148,3381,2122,1009,780	16.410000,16.420000,16.430000,16.440000,16.450000	125,321,505,1850,788
2019-12-2414:59:51	16.39	747976540.35	456459	0	18	0.00	29417	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,0.000000,0.000000,0.000000,0.000000	2590,0,0,0,0	16.400000,0.000000,0.000000,0.000000,0.000000	2590,49,0,0,0
2019-12-2414:59:42	16.39	747976540.35	456459	0	18	0.00	29417	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,0.000000,0.000000,0.000000,0.000000	2537,21,0,0,0	16.400000,0.000000,0.000000,0.000000,0.000000	2537,0,0,0,0
2019-12-2414:59:33	16.39	747976540.35	456459	0	18	0.00	29417	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,0.000000,0.000000,0.000000,0.000000	2273,166,0,0,0	16.400000,0.000000,0.000000,0.000000,0.000000	2273,0,0,0,0
2019-12-2414:59:24	16.39	747976540.35	456459	0	18	0.00	29417	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,0.000000,0.000000,0.000000,0.000000	2071,235,0,0,0	16.400000,0.000000,0.000000,0.000000,0.000000	2071,0,0,0,0
2019-12-2414:59:15	16.39	747976540.35	456459	0	18	0.00	29417	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,0.000000,0.000000,0.000000,0.000000	1899,0,0,0,0	16.400000,0.000000,0.000000,0.000000,0.000000	1899,78,0,0,0
2019-12-2414:59:06	16.39	747976540.35	456459	0	18	0.00	29417	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,0.000000,0.000000,0.000000,0.000000	1563,0,0,0,0	16.400000,0.000000,0.000000,0.000000,0.000000	1563,322,0,0,0
2019-12-2414:58:57	16.39	747976540.35	456459	0	18	0.00	29417	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,0.000000,0.000000,0.000000,0.000000	1493,0,0,0,0	16.400000,0.000000,0.000000,0.000000,0.000000	1493,391,0,0,0
2019-12-2414:58:48	16.39	747976540.35	456459	0	18	0.00	29417	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,0.000000,0.000000,0.000000,0.000000	1321,0,0,0,0	16.400000,0.000000,0.000000,0.000000,0.000000	1321,541,0,0,0
2019-12-2414:58:39	16.39	747976540.35	456459	0	18	0.00	29417	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,0.000000,0.000000,0.000000,0.000000	1280,0,0,0,0	16.400000,0.000000,0.000000,0.000000,0.000000	1280,541,0,0,0
